ID	symbol	chromosome	start	stop
ENSG00000110514	MADD	11	47269161	47330031
ENSG00000086015	MAST2	1	45786987	46036124
ENSG00000115808	STRN	2	36843640	36966472
ENSG00000211769	TRBJ2-5	7	142797119	142797166
ENSG00000211768	TRBJ2-4	7	142796998	142797047
ENSG00000211767	TRBJ2-3	7	142796847	142796895
ENSG00000211766	TRBJ2-2P	7	142796697	142796742
ENSG00000211765	TRBJ2-2	7	142796560	142796610
ENSG00000211764	TRBJ2-1	7	142796365	142796414
ENSG00000169740	ZNF32	10	43643859	43648856
ENSG00000261609	GAN	16	81314947	81390884
ENSG00000169744	LDB2	4	16501541	16898809
ENSG00000261606	AC091230.1	15	74816223	74831795
ENSG00000215867	KRT18P57	1	111648291	111649544
ENSG00000215861	AC245297.1	1	149197992	149321732
ENSG00000266469	AC005288.1	17	39401793	39406233
ENSG00000168298	HIST1H1E	6	26156354	26157107
ENSG00000168297	PXK	3	58332880	58426126
ENSG00000266467	RN7SL220P	10	68007718	68008017
ENSG00000168291	PDHB	3	58427630	58433857
ENSG00000204227	RING1	6	33208495	33212722
ENSG00000204220	PFDN6	6	33289302	33298401
ENSG00000225101	OR52K3P	11	4393783	4476361
ENSG00000226457	RPL22P3	1	16369150	16369530
ENSG00000226454	AL033380.1	6	40505507	40523963
ENSG00000226450	CYP2D8P	22	42149886	42155001
ENSG00000149798	CDC42EP2	11	65314818	65322429
ENSG00000250565	ATP6V1E2	2	46490750	46542557
ENSG00000187961	KLHL17	1	960587	965715
ENSG00000125409	TEKT3	17	15303811	15341641
ENSG00000250568	AC098591.2	4	39973128	39973442
ENSG00000250569	NTAN1P2	8	86481754	86483002
ENSG00000162840	MT2P1	4	68376323	68376505
ENSG00000162843	WDR64	1	241652278	241802133
ENSG00000162849	KIF26B	1	245154985	245709431
ENSG00000184702	SEPT5	22	19714464	19724224
ENSG00000283683	MYOCOS	1	171600621	171638799
ENSG00000184708	EIF4ENIF1	22	31436977	31496108
ENSG00000163462	TRIM46	1	155173787	155184971
ENSG00000163463	KRTCAP2	1	155169408	155173475
ENSG00000163464	CXCR1	2	218162845	218166995
ENSG00000163466	ARPC2	2	218217094	218254356
ENSG00000163467	TSACC	1	156337314	156346995
ENSG00000163468	CCT3	1	156308968	156367873
ENSG00000162599	NFIA	1	60865259	61462793
ENSG00000162598	C1ORF87	1	59987269	60073770
ENSG00000267731	AC005332.2	17	68189884	68192802
ENSG00000162592	CCDC27	1	3746460	3771645
ENSG00000162591	MEGF6	1	3489920	3611495
ENSG00000267734	AL121989.1	1	86932199	86934891
ENSG00000162595	DIRAS3	1	68045896	68051631
ENSG00000162594	IL23R	1	67138907	67259979
ENSG00000272384	AC016405.3	8	122779971	122780830
ENSG00000118640	VAMP8	2	85561562	85582031
ENSG00000263603	AC127024.2	17	30729469	30731202
ENSG00000263606	AP000919.1	18	2945550	2946890
ENSG00000115073	ACTR1B	2	97655963	97664107
ENSG00000259161	AL137779.3	14	101843394	101844122
ENSG00000259162	AL355075.5	14	20437982	20441268
ENSG00000029534	ANK1	8	41653220	41896762
ENSG00000213857	AL080243.1	22	41074180	41075239
ENSG00000213859	KCTD11	17	7351889	7354944
ENSG00000229792	LINC00399	13	109400696	109401641
ENSG00000278075	AC114341.1	18	79900555	79900903
ENSG00000055070	SZRD1	1	16352575	16398145
ENSG00000227413	AL022238.1	22	40433136	40433641
ENSG00000227417	AC114402.2	1	203805621	203806263
ENSG00000162337	LRP5	11	68312609	68449275
ENSG00000155714	PDZD9	16	21983865	22001110
ENSG00000251775	ENSG00000251775	2	63883249	63883391
ENSG00000245293	AC096564.1	4	107863479	107978799
ENSG00000164659	KIAA1324L	7	86876906	87059699
ENSG00000164654	MIOS	7	7566872	7608929
ENSG00000149187	CELF1	11	47465933	47565569
ENSG00000252231	RNA5SP67	1	173921070	173921200
ENSG00000206113	CFAP99	4	2418974	2462942
ENSG00000161021	MAML1	5	179732850	179777286
ENSG00000254694	AP001893.1	11	126208611	126209027
ENSG00000254695	AC087379.2	11	15643885	15705368
ENSG00000254691	AP002812.3	11	77850604	77851511
ENSG00000254693	AC010768.1	11	44604508	44605337
ENSG00000266921	AC006213.1	19	43996896	44002836
ENSG00000261604	AC114947.2	5	43287601	43290839
ENSG00000257345	LINC02413	12	92999218	93019820
ENSG00000119509	INVS	9	100099256	100301000
ENSG00000228943	AL137792.2	1	28109739	28110298
ENSG00000165309	ARMC3	10	22928024	23038523
ENSG00000165304	MELK	9	36572862	36677683
ENSG00000165300	SLITRK5	13	87672615	87696272
ENSG00000101608	MYL12A	18	3247481	3256236
ENSG00000101605	MYOM1	18	3066807	3220108
ENSG00000129473	BCL2L2	14	23298790	23311759
ENSG00000198791	CNOT7	8	17224964	17246878
ENSG00000198792	TMEM184B	22	38219291	38273034
ENSG00000198793	MTOR	1	11106535	11262507
ENSG00000198794	SCAMP5	15	74957219	75021496
ENSG00000198795	ZNF521	18	25061926	25352190
ENSG00000198799	LRIG2	1	113073209	113132260
ENSG00000175550	DRAP1	11	65919257	65921561
ENSG00000175556	LONRF3	X	118974614	119018355
ENSG00000204252	HLA-DOA	6	33004178	33009612
ENSG00000161682	FAM171A2	17	44353215	44363875
ENSG00000279841	AC092135.3	16	81630193	81632038
ENSG00000279845	AC097372.3	4	146180851	146181316
ENSG00000279846	AC015660.4	15	99497812	99498375
ENSG00000179428	AC073072.1	7	22725395	22727620
ENSG00000076321	KLHL20	1	173714941	173786702
ENSG00000183864	TOB2	22	41433492	41447023
ENSG00000174669	SLC29A2	11	66362521	66372214
ENSG00000141543	EIF4A3	17	80135214	80147183
ENSG00000167680	SEMA6B	19	4542593	4559808
ENSG00000124217	MOCS3	20	50958826	50963931
ENSG00000124214	STAU1	20	49113339	49188367
ENSG00000124215	CDH26	20	59958427	60034011
ENSG00000247596	TWF2	3	52228610	52239260
ENSG00000247595	SPTY2D1OS	11	18588781	18610255
ENSG00000161970	RPL26	17	8377516	8383250
ENSG00000161973	CCDC42	17	8729934	8745219
ENSG00000127884	ECHS1	10	133362480	133373689
ENSG00000255274	SMIM35	11	118003634	118088299
ENSG00000265625	AC104564.5	17	29644796	29645847
ENSG00000160087	UBE2J2	1	1253909	1273885
ENSG00000036054	TBC1D23	3	100261000	100325251
ENSG00000104904	OAZ1	19	2269509	2273490
ENSG00000002587	HS3ST1	4	11393150	11429765
ENSG00000002586	CD99	X	2691133	2741309
ENSG00000237868	AC097533.1	4	122077840	122078318
ENSG00000177954	RPS27	1	153990755	153992155
ENSG00000177951	BET1L	11	167784	207428
ENSG00000280057	AL022069.2	6	166388136	166389920
ENSG00000237861	AL513325.1	1	197222222	197223255
ENSG00000280055	TMEM75	8	127946559	127948723
